Model,Model_Path,Input_Name,Output_Name
resnet50-v2-7,pretrained_models/resnet50-v2-7.onnx,data,resnetv24_dense0_fwd
squeezenet1.1-7,pretrained_models/squeezenet1.1-7.onnx,data,squeezenet0_flatten0_reshape0
